alpha,event,step,time_days,cumulative_pct
0.1,Hierarchy onset,0,0.0,0.0
0.1,Hierarchy onset,1,0.1388888888888889,0.0
0.1,Hierarchy onset,2,0.2777777777777778,0.0
0.1,Hierarchy onset,3,0.4166666666666667,0.0
0.1,Hierarchy onset,4,0.5555555555555556,0.0
0.1,Hierarchy onset,5,0.6944444444444444,0.0
0.1,Hierarchy onset,6,0.8333333333333334,1.6666666666666667
0.1,Hierarchy onset,7,0.9722222222222223,1.6666666666666667
0.1,Hierarchy onset,8,1.1111111111111112,11.666666666666666
0.1,Hierarchy onset,9,1.25,18.333333333333332
0.1,Hierarchy onset,10,1.3888888888888888,23.333333333333332
0.1,Hierarchy onset,11,1.527777777777778,23.333333333333332
0.1,Hierarchy onset,12,1.6666666666666667,30.0
0.1,Hierarchy onset,13,1.8055555555555556,33.333333333333336
0.1,Hierarchy onset,14,1.9444444444444446,36.666666666666664
0.1,Hierarchy onset,15,2.0833333333333335,38.333333333333336
0.1,Hierarchy onset,16,2.2222222222222223,38.333333333333336
0.1,Hierarchy onset,17,2.361111111111111,41.666666666666664
0.1,Hierarchy onset,18,2.5,43.333333333333336
0.1,Hierarchy onset,19,2.638888888888889,46.666666666666664
0.1,Hierarchy onset,20,2.7777777777777777,46.666666666666664
0.1,Hierarchy onset,21,2.916666666666667,50.0
0.1,Hierarchy onset,22,3.055555555555556,50.0
0.1,Hierarchy onset,23,3.1944444444444446,53.333333333333336
0.1,Hierarchy onset,24,3.3333333333333335,56.666666666666664
0.1,Hierarchy onset,25,3.4722222222222223,56.666666666666664
0.1,Hierarchy onset,26,3.611111111111111,60.0
0.1,Hierarchy onset,27,3.75,61.666666666666664
0.1,Hierarchy onset,28,3.8888888888888893,61.666666666666664
0.1,Hierarchy onset,29,4.027777777777778,65.0
0.1,Hierarchy onset,30,4.166666666666667,65.0
0.1,Hierarchy onset,31,4.305555555555555,68.33333333333333
0.1,Hierarchy onset,32,4.444444444444445,70.0
0.1,Hierarchy onset,33,4.583333333333334,71.66666666666667
0.1,Hierarchy onset,34,4.722222222222222,71.66666666666667
0.1,Hierarchy onset,35,4.861111111111112,71.66666666666667
0.1,Hierarchy onset,36,5.0,71.66666666666667
0.45,Hierarchy onset,0,0.0,0.0
0.45,Hierarchy onset,1,0.1388888888888889,0.0
0.45,Hierarchy onset,2,0.2777777777777778,0.0
0.45,Hierarchy onset,3,0.4166666666666667,0.0
0.45,Hierarchy onset,4,0.5555555555555556,0.0
0.45,Hierarchy onset,5,0.6944444444444444,3.3333333333333335
0.45,Hierarchy onset,6,0.8333333333333334,6.666666666666667
0.45,Hierarchy onset,7,0.9722222222222223,13.333333333333334
0.45,Hierarchy onset,8,1.1111111111111112,16.666666666666668
0.45,Hierarchy onset,9,1.25,23.333333333333332
0.45,Hierarchy onset,10,1.3888888888888888,31.666666666666668
0.45,Hierarchy onset,11,1.527777777777778,38.333333333333336
0.45,Hierarchy onset,12,1.6666666666666667,38.333333333333336
0.45,Hierarchy onset,13,1.8055555555555556,41.666666666666664
0.45,Hierarchy onset,14,1.9444444444444446,46.666666666666664
0.45,Hierarchy onset,15,2.0833333333333335,46.666666666666664
0.45,Hierarchy onset,16,2.2222222222222223,50.0
0.45,Hierarchy onset,17,2.361111111111111,56.666666666666664
0.45,Hierarchy onset,18,2.5,56.666666666666664
0.45,Hierarchy onset,19,2.638888888888889,60.0
0.45,Hierarchy onset,20,2.7777777777777777,61.666666666666664
0.45,Hierarchy onset,21,2.916666666666667,61.666666666666664
0.45,Hierarchy onset,22,3.055555555555556,63.333333333333336
0.45,Hierarchy onset,23,3.1944444444444446,66.66666666666667
0.45,Hierarchy onset,24,3.3333333333333335,68.33333333333333
0.45,Hierarchy onset,25,3.4722222222222223,70.0
0.45,Hierarchy onset,26,3.611111111111111,73.33333333333333
0.45,Hierarchy onset,27,3.75,75.0
0.45,Hierarchy onset,28,3.8888888888888893,76.66666666666667
0.45,Hierarchy onset,29,4.027777777777778,76.66666666666667
0.45,Hierarchy onset,30,4.166666666666667,78.33333333333333
0.45,Hierarchy onset,31,4.305555555555555,80.0
0.45,Hierarchy onset,32,4.444444444444445,81.66666666666667
0.45,Hierarchy onset,33,4.583333333333334,81.66666666666667
0.45,Hierarchy onset,34,4.722222222222222,81.66666666666667
0.45,Hierarchy onset,35,4.861111111111112,83.33333333333333
0.45,Hierarchy onset,36,5.0,83.33333333333333
1.0,Hierarchy onset,0,0.0,0.0
1.0,Hierarchy onset,1,0.1388888888888889,0.0
1.0,Hierarchy onset,2,0.2777777777777778,0.0
1.0,Hierarchy onset,3,0.4166666666666667,0.0
1.0,Hierarchy onset,4,0.5555555555555556,6.666666666666667
1.0,Hierarchy onset,5,0.6944444444444444,13.333333333333334
1.0,Hierarchy onset,6,0.8333333333333334,16.666666666666668
1.0,Hierarchy onset,7,0.9722222222222223,20.0
1.0,Hierarchy onset,8,1.1111111111111112,25.0
1.0,Hierarchy onset,9,1.25,31.666666666666668
1.0,Hierarchy onset,10,1.3888888888888888,38.333333333333336
1.0,Hierarchy onset,11,1.527777777777778,45.0
1.0,Hierarchy onset,12,1.6666666666666667,48.333333333333336
1.0,Hierarchy onset,13,1.8055555555555556,51.666666666666664
1.0,Hierarchy onset,14,1.9444444444444446,53.333333333333336
1.0,Hierarchy onset,15,2.0833333333333335,58.333333333333336
1.0,Hierarchy onset,16,2.2222222222222223,61.666666666666664
1.0,Hierarchy onset,17,2.361111111111111,63.333333333333336
1.0,Hierarchy onset,18,2.5,66.66666666666667
1.0,Hierarchy onset,19,2.638888888888889,68.33333333333333
1.0,Hierarchy onset,20,2.7777777777777777,68.33333333333333
1.0,Hierarchy onset,21,2.916666666666667,73.33333333333333
1.0,Hierarchy onset,22,3.055555555555556,76.66666666666667
1.0,Hierarchy onset,23,3.1944444444444446,78.33333333333333
1.0,Hierarchy onset,24,3.3333333333333335,78.33333333333333
1.0,Hierarchy onset,25,3.4722222222222223,81.66666666666667
1.0,Hierarchy onset,26,3.611111111111111,81.66666666666667
1.0,Hierarchy onset,27,3.75,81.66666666666667
1.0,Hierarchy onset,28,3.8888888888888893,86.66666666666667
1.0,Hierarchy onset,29,4.027777777777778,90.0
1.0,Hierarchy onset,30,4.166666666666667,90.0
1.0,Hierarchy onset,31,4.305555555555555,90.0
1.0,Hierarchy onset,32,4.444444444444445,90.0
1.0,Hierarchy onset,33,4.583333333333334,90.0
1.0,Hierarchy onset,34,4.722222222222222,90.0
1.0,Hierarchy onset,35,4.861111111111112,90.0
1.0,Hierarchy onset,36,5.0,90.0
